"Var1"	"Freq"
"Bone mineral density (paediatric, skull)"	19
"Cardiac hypertrophy"	19
"DNA methylation (variation)"	19
"Eye color"	19
"Hair color"	19
"Intracranial aneurysm"	19
"Kawasaki disease"	19
"Neuritic plaque"	19
"Political ideology"	19
"Polycystic ovary syndrome"	19
"Post-traumatic stress disorder (asjusted for relatedness)"	19
"Primary tooth development (time to first tooth eruption)"	19
"Response to hepatitis C treatment"	19
"Serum metabolite levels"	19
"Total ventricular volume"	19
"Behcet's disease"	18
"Breast cancer (early onset)"	18
"Cardiac Troponin-T levels"	18
"Chagas cardiomyopathy in Tripanosoma cruzi seropositivity"	18
"Clozapine-induced cytotoxicity"	18
"Corneal curvature"	18
"Estradiol plasma levels (breast cancer)"	18
"Glaucoma (primary open-angle)"	18
"Glioma"	18
"IgE levels"	18
"Interstitial lung disease"	18
"Periodontitis (PAL4Q3)"	18
"Preeclampsia"	18
"Response to antipsychotic therapy (extrapyramidal side effects)"	18
"Response to platinum-based chemotherapy (carboplatin)"	18
"Acne (severe)"	17
"Antineutrophil cytoplasmic antibody-associated vasculitis"	17
"Biochemical measures"	17
"Conduct disorder (symptom count)"	17
"Coronary artery disease or large artery stroke"	17
"Economic and political preferences"	17
"Economic and political preferences (environmentalism)"	17
"Fat distribution (HIV)"	17
"Heart failure"	17
"Immune reponse to smallpox (secreted IL-2)"	17
"Lupus nephritis in systemic lupus erythematosus"	17
"Monocyte count"	17
"Non-small cell lung cancer"	17
"Obesity (extreme)"	17
"Panic disorder"	17
"QT interval (interaction)"	17
"Refractive astigmatism"	17
"Response to methotrexate in juvenile idiopathic arthritis"	17
"Addiction"	16
"Bipolar disorder with mood-incongruent psychosis"	16
"Cervical cancer"	16
"Common traits (Other)"	16
"Hip geometry"	16
"HIV-1 susceptibility"	16
"Metabolic syndrome (bivariate traits)"	16
"Periodontal microbiota"	16
"Response to anti-retroviral therapy (ddI/d4T) in HIV-1 infection (Grade 3 peripheral neuropathy)"	16
"Serum albumin level"	16
"Temperament"	16
"Toenail selenium levels"	16
"Age-related nuclear cataracts"	15
"Anxiety disorder"	15
"Body mass index (interaction)"	15
"Bone mineral density (paediatric, total body less head)"	15
"Celiac disease or Rheumatoid arthritis"	15
"Cocaine dependence"	15
"Conduct disorder (interaction)"	15
"Coronary artery disease or ischemic stroke"	15
"D-dimer levels"	15
"Eating disorders"	15
"Economic and political preferences (immigration/crime)"	15
"Hair morphology"	15
"Homeostasis model assessment of insulin resistance (interaction)"	15
"Inattentive symptoms"	15
"Infant length"	15
"Insulin resistance/response"	15
"Lipoprotein (a) - cholesterol levels"	15
"Liver enzyme levels (alanine transaminase)"	15
"Palmitoleic acid (16:1n-7) plasma levels"	15
"Periodontitis (DPAL)"	15
"Platelet aggregation"	15
"Renal function-related traits (BUN)"	15
"Response to serotonin reuptake inhibitors in major depressive disorder (plasma drug and metabolite levels)"	15
"Response to taxane treatment (docetaxel)"	15
"Sphingolipid levels"	15
"Tanning"	15
"Tourette's syndrome or obsessive-compulsive disorder"	15
"Vitamin D levels"	15
"Word reading"	15
"Anger"	14
"Cognitive test performance"	14
"Cotinine glucuronidation"	14
"Eosinophilic esophagitis (pediatric)"	14
"Fasting insulin (interaction)"	14
"Folate pathway vitamin levels"	14
"Follicular lymphoma"	14
"Gout"	14
"Hyperactive-impulsive symptoms"	14
"Hypertriglyceridemia"	14
"Lentiform nucleus volume"	14
"Liver enzyme levels (alkaline phosphatase)"	14
"Multiple myeloma (hyperdiploidy)"	14
"QT interval in Tripanosoma cruzi seropositivity"	14
"Renal cell carcinoma"	14
"Resting heart rate"	14
"Serum protein levels (sST2)"	14
"Vascular brain injury"	14
"Waist-to-hip circumference ratio (interaction)"	14
"Alzheimer's disease (age of onset)"	13
"Amyotrophic lateral sclerosis (age of onset)"	13
"Anthropometric traits"	13
"Aortic root size"	13
"Birth weight"	13
"Blood pressure measurement (high sodium and potassium intervention)"	13
"Colorectal cancer (diet interaction)"	13
"Depression (quantitative trait)"	13
"Dupuytren's disease"	13
"Electrodermal activity"	13
"Elevated serum carcinoembryonic antigen levels"	13
"Esophageal cancer"	13
"Glaucoma"	13
"Immune reponse to smallpox (secreted IL-1beta)"	13
"Malaria"	13
"Male-pattern baldness"	13
"Mean corpuscular hemoglobin concentration"	13
"Metabolite levels (5-HIAA)"	13
"Metabolite levels (HVA)"	13
"MRI atrophy measures"	13
"Non-alcoholic fatty liver disease histology (lobular)"	13
"Paget's disease"	13
"Preschool internalizing problems"	13
"Presence of antiphospholipid antibodies"	13
"Red blood cell fatty acid levels"	13
"Response to anti-retroviral therapy (ddI/d4T) in HIV-1 infection (Grade 2 peripheral neuropathy)"	13
"Response to chemotherapy in breast cancer hypertensive cases (cumulative dose) (bevacizumab)"	13
"Response to taxane treatment (placlitaxel)"	13
"Temperament (bipolar disorder)"	13
"Tonometry"	13
"Warfarin maintenance dose"	13
"Activated partial thromboplastin time"	12
"Adverse response to chemotherapy (neutropenia/leucopenia) (all antimicrotubule drugs)"	12
"Adverse response to lamotrigine and phenytoin"	12
"Allergic sensitization"	12
"Barrett's esophagus"	12
"Blood and toenail selenium levels"	12
"Brain connectivity"	12
"Coagulation factor levels"	12
"Conduct disorder"	12
"Economic and political preferences (feminism/equality)"	12
"Electrocardiographic conduction measures"	12
"Hippocampal sclerosis"	12
"Homeostasis model assessment of beta-cell function (interaction)"	12
"Immunoglobulin A"	12
"Lung adenocarcinoma"	12
"Lung function (forced expiratory flow between 25% and 75% of forced vital capacity)"	12
"Lymphoma"	12
"Mammographic density (dense area)"	12
"Metabolite levels (HVA-5-HIAA Factor score)"	12
"Multiple sclerosis (OCB status)"	12
"Multiple sclerosis (severity)"	12
"Number of pregnancies"	12
"Palmitic acid (16:0) plasma levels"	12
"Prostate-specific antigen levels"	12
"Radiation response"	12
"Response to fenofibrate (adiponectin levels)"	12
"Response to treatment for acute lymphoblastic leukemia"	12
"Restless legs syndrome"	12
"Schizophrenia or bipolar disorder"	12
"Serum total protein level"	12
"Subcortical brain region volumes"	12
"Weight loss (gastric bypass surgery)"	12
"Attention deficit hyperactivity disorder (time to onset)"	11
"Blood pressure measurement (high sodium intervention)"	11
"Blood trace element (Zn levels)"	11
"Bone mineral density (paediatric, lower limb)"	11
"Bone mineral density (paediatric, upper limb)"	11
"Carotid intima media thickness"	11
"Central corneal thickness"	11
"Chronic bronchitis and chronic obstructive pulmonary disease"	11
"Cognitive decline (age-related)"	11
"Conotruncal heart defects"	11
"Eating disorders (purging via substances)"	11
"Endometrial cancer"	11
"Glycemic traits"	11
"Hematological parameters"	11
"Liver enzyme levels"	11
"Metabolite levels (5-HIAA/ MHPG Ratio)"	11
"Mortality in heart failure"	11
"Nasopharyngeal carcinoma"	11
"Number of children (6+ vs. 0 or 1)"	11
"Prion diseases"	11
"Progressive supranuclear palsy"	11
"Psychosis and Alzheimer's disease"	11
"Response to anti-retroviral therapy (ddI/d4T) in HIV-1 infection (Grade 1 peripheral neuropathy)"	11
"Response to antipsychotic treatment in schizophrenia (working memory)"	11
"Retinopathy in non-diabetics"	11
"Stearic acid (18:0) plasma levels"	11
"Superior frontal gyrus grey matter volume"	11
"Systolic blood pressure (alcohol consumption interaction)"	11
"Thyroid peroxidase antibody positivity"	11
"Total bilirubin levels in HIV-1 infection"	11
"Tumor biomarkers"	11
"Type 1 diabetes nephropathy"	11
"Very long-chain saturated fatty acid levels (fatty acid 22:0)"	11
"vWF and FVIII levels"	11
"Aging traits"	10
"AIDS progression"	10
"Blood pressure measurement (low sodium intervention)"	10
"Blood trace element (Se levels)"	10
"Body mass index (change over time)"	10
"Caffeine consumption"	10
"Cannabis dependence"	10
"Coffee consumption"	10
"Complement C3 and C4 levels"	10
"Depressive symptoms (SSRI exposure interaction)"	10
"Dietary macronutrient intake"	10
"Digestive system disease (Barrett's esophagus and esophageal adenocarcinoma combined)"	10
"Drug-induced Stevens-Johnson syndrome or toxic epidermal necrolysis (SJS/TEN)"	10
"Economic and political preferences (time)"	10
"Epilepsy"	10
"Epilepsy (generalized)"	10
"Esophageal squamous cell carcinoma"	10
"Febrile seizures (MMR vaccine-related)"	10
"Glomerular filtration rate"	10
"Glycemic traits (pregnancy)"	10
"Illicit drug use"	10
"Immune reponse to smallpox (secreted IL-12p40)"	10
"Immune response to measles-mumps-rubella vaccine"	10
"Lifetime average cigarettes per day in chronic obstructive pulmonary disease"	10
"Longevity (90 years and older)"	10
"Neuroblastoma"	10
"Paclitaxel-induced neuropathy"	10
"Parkinson disease and lewy body pathology"	10
"Periodontal disease-related phenotypes"	10
"Plasma amyloid beta peptide concentrations (ABx-40)"	10
"Plasma omega-6 polyunsaturated fatty acid levels (gamma-linolenic acid)"	10
"Proinsulin levels"	10
"Psychosis (atypical)"	10
"Pulmonary function in asthmatics"	10
"Reading and spelling"	10
"Relative hand skill in reading disability"	10
"Renal function-related traits (eGRFcrea)"	10
"Response to antipsychotic treatment in schizophrenia (reasoning)"	10
"Response to cytidine analogues (gemcitabine)"	10
"Response to radiotherapy in cancer (late toxicity)"	10
"Self-rated health"	10
"Sexual dimorphism in anthropometric traits"	10
"Stroke (ischemic)"	10
"Systolic blood pressure in sickle cell anemia"	10
"&beta;2-Glycoprotein I (&beta;2-GPI) plasma levels"	9
"Acute urticaria and angioedema (non-steroidal anti-inflammatory drug-induced)"	9
"Adverse response to chemotherapy (neutropenia/leucopenia) (carboplatin)"	9
"Age-related macular degeneration (GA)"	9
"Aging"	9
"Alcohol and nictotine co-dependence"	9
"Bipolar disorder and major depressive disorder (combined)"	9
"Body mass index in non-asthmatics"	9
"Breast cancer (survival)"	9
"Breastfeeding duration"	9
"C-reactive protein and white blood cell count"	9
"Chronic obstructive pulmonary disease (moderate to severe)"	9
"Coffee consumption (cups per day)"	9
"Cytomegalovirus antibody response"	9
"Hemoglobin"	9
"Hepatitis"	9
"Hepatocellular carcinoma"	9
"IgE grass sensitization"	9
"Infantile hypertrophic pyloric stenosis"	9
"Insomnia (caffeine-induced)"	9
"Iron status biomarkers (transferrin levels)"	9
"Large artery stroke"	9
"Lung function (forced expiratory volume in 1 second)"	9
"Lung function (forced vital capacity)"	9
"Major depressive disorder (broad)"	9
"Mean arterial pressure (alcohol consumption interaction)"	9
"Metabolite levels (HVA/5-HIAA ratio)"	9
"Multiple myeloma"	9
"Myasthenia gravis"	9
"Myocardial infarction (early onset)"	9
"Narcolepsy"	9
"Oleic acid (18:1n-9) plasma levels"	9
"Prostate cancer (early onset)"	9
"Renal function-related traits (sCR)"	9
"Response to antidepressants"	9
"Response to antineoplastic agents"	9
"Response to fenofibrate"	9
"Response to Homoharringtonine (cytotoxicity)"	9
"Serum uric acid levels"	9
"White matter integrity"	9
"Adiposity"	8
"Adverse response to chemotherapy (neutropenia/leucopenia) (paclitaxel)"	8
"Adverse response to chemotherapy in breast cancer (alopecia) (cyclophosphamide+doxorubicin+/-5FU)"	8
"Age of smoking initiation"	8
"Aging (time to event)"	8
"Alcoholism (heaviness of drinking)"	8
"Alopecia areata"	8
"Anticoagulant levels"	8
"Anxiety in major depressive disorder"	8
"Biomedical quantitative traits"	8
"Dehydroepiandrosterone sulphate levels"	8
"Depression and alcohol dependence"	8
"Diffuse large B cell lymphoma"	8
"Echocardiographic traits"	8
"Electroencephalographic traits in alcoholism"	8
"Esophageal adenocarcinoma"	8
"Estradiol levels"	8
"Expressive vocabulary in infants"	8
"HDL Cholesterol - Triglycerides (HDLC-TG)"	8
"Hematocrit"	8
"Hepcidin levels"	8
"Hirschsprung disease"	8
"Immune response to anthrax vaccine"	8
"Insulin-like growth factors"	8
"Interferon alpha levels in systemic lupus erythematosus"	8
"Kidney function decline traits"	8
"Liver enzyme levels (aspartate transaminase)"	8
"Mammographic density (non-dense area)"	8
"Multiple sclerosis (age of onset)"	8
"N-glycan levels"	8
"Neuroticism"	8
"Nodular sclerosis Hodgkin lymphoma"	8
"Number of children"	8
"Optic nerve measurement (cup area)"	8
"Ossification of the posterior longitudinal ligament of the spine"	8
"Osteoarthritis"	8
"Osteoporosis-related phenotypes"	8
"Plasma amyloid beta peptide concentrations (ABx-42)"	8
"Plasma omega-6 polyunsaturated fatty acid levels (arachidonic acid)"	8
"Plasma omega-6 polyunsaturated fatty acid levels (dihomo-gamma-linolenic acid)"	8
"Plasma omega-6 polyunsaturated fatty acid levels (linoleic acid)"	8
"PR segment"	8
"Protein C levels"	8
"Psychosis in Alzheimer's disease"	8
"Red blood cell count"	8
"Renal sinus fat"	8
"Response to mTOR inhibitor (everolimus)"	8
"Response to statin therapy (LDL-C)"	8
"Response to TNF antagonist treatment"	8
"Response to TNF-alpha inhibitors in rheumatoid arthritis"	8
"Response to Vitamin E supplementation"	8
"Seasonality"	8
"Smoking cessation in chronic obstructive pulmonary disease"	8
"Smoking quantity"	8
"Subclinical atherosclerosis traits (other)"	8
"Thyroid volume"	8
"Treatment response for severe sepsis"	8
"Vitamin B levels in ischemic stroke"	8
"Adverse response to chemotherapy (neutropenia/leucopenia) (cisplatin)"	7
"Adverse response to chemotherapy (neutropenia/leucopenia) (docetaxel)"	7
"Adverse response to chemotherapy (neutropenia/leucopenia) (paclitaxel + carboplatin)"	7
"Adverse response to chemotherapy in breast cancer (alopecia) (anti-microtubule)"	7
"Aging (facial)"	7
"AIDS"	7
"Allergic rhinitis in non-asthmatics"	7
"Alzheimer's disease (survival time)"	7
"Attention deficit hyperactivity disorder symptoms (interaction)"	7
"Beta-2 microglubulin plasma levels"	7
"Black vs. blond hair color"	7
"Black vs. red hair color"	7
"Blood pressure measurement (cold pressor test)"	7
"Blood trace element (Cu levels)"	7
"Carotid atherosclerosis in HIV infection"	7
"Cerebrospinal AB1-42 levels"	7
"Chemerin levels"	7
"Chronic hepatitis C infection"	7
"Circulating vasoactive peptide levels"	7
"Crohn's disease-related phenotypes"	7
"Current cigarettes per day in chronic obstructive pulmonary disease"	7
"DNA methylation (parent-of-origin)"	7
"Economic and political preferences (fairness)"	7
"Emphysema-related traits"	7
"Eosinophil counts"	7
"Epilepsy (remission after treatment)"	7
"Esophageal cancer (squamous cell)"	7
"Exudative age-related macular degeneration"	7
"Febrile seizures"	7
"Food antigen IgG levels"	7
"Forced vital capacity"	7
"Gamma glutamyl transpeptidase"	7
"Gastritis"	7
"Hepatitis B"	7
"Hormone measurements"	7
"Iris characteristics"	7
"Multiple cancers (lung cancer, gastric cancer, and squamous cell carcinoma)"	7
"Optic nerve measurement (disc area)"	7
"Ovarian cancer in BRCA1 mutation carriers"	7
"Ovarian reserve"	7
"Percent mammographic density"	7
"Personality traits in bipolar disorder"	7
"Pyoderma gangrenosum in inflammatory bowel disease"	7
"Response to irinotecan and platinum-based chemotherapy in non-small-cell lung cancer"	7
"Response to methylphenidate treatment in attention-deficit/hyperactivity disorder (blood pressure)"	7
"Response to simvastatin treatment (PCSK9 protein level change)"	7
"Sensory disturbances after bilateral sagittal split ramus osteotomy"	7
"Serum prostate-specific antigen levels"	7
"Sleep quality"	7
"Soluble ICAM-1"	7
"Testosterone levels"	7
"Thyroid cancer"	7
"Tourette syndrome"	7
"Urinary bladder cancer"	7
"Vitamin B12 levels"	7
"Waist Circumference - Triglycerides (WC-TG)"	7
"Wilms tumor"	7
"Acoustic startle blink response"	6
"Acute lymphoblastic leukemia (B-cell precursor)"	6
"Adverse response to chemotherapy (neutropenia/leucopenia) (all anthracycline-based drugs)"	6
"Adverse response to chemotherapy (neutropenia/leucopenia) (all antimetabolite drugs)"	6
"Adverse response to chemotherapy (neutropenia/leucopenia) (all platinum-based drugs)"	6
"Adverse response to chemotherapy (neutropenia/leucopenia) (all topoisomerase inhibitors)"	6
"Age-related macular degeneration (CNV)"	6
"Alcohol consumption (transferrin glycosylation)"	6
"Alcoholism (alcohol dependence factor score)"	6
"Alcoholism (alcohol use disorder factor score)"	6
"Androgen levels"	6
"Arthritis (juvenile idiopathic)"	6
"Asthma (sex interaction)"	6
"Autism spectrum disorder-related traits"	6
"Birth length"	6
"Body mass index in asthmatics"	6
"Brain imaging in schizophrenia (interaction)"	6
"Breast Cancer in BRCA1 mutation carriers"	6
"Cannabis use (initiation)"	6
"Cerebral amyloid angiopathy"	6
"Chronic obstructive pulmonary disease (severe)"	6
"Creutzfeldt-Jakob disease (variant)"	6
"Cystic fibrosis severity"	6
"Drug-induced liver injury (flucloxacillin)"	6
"Entorhinal cortical thickness"	6
"Erectile dysfunction in type 1 diabetes"	6
"Femoral neck bone geometry and menarche (age at onset)"	6
"Follicule stimulating hormone"	6
"Glioma (high-grade)"	6
"Hepatitis C induced liver fibrosis"	6
"Idiopathic pulmonary fibrosis"	6
"Immune reponse to smallpox (secreted IL-10)"	6
"Immune reponse to smallpox (secreted TNF-alpha)"	6
"Insulin-related traits"	6
"Intelligence (childhood)"	6
"Iron status biomarkers (transferrin saturation)"	6
"Ischemic stroke"	6
"Laryngeal squamous cell carcinoma"	6
"Lipoprotein-associated phospholipase A2 activity change in response to statin therapy"	6
"Menarche and menopause (age at onset)"	6
"Myocardial infarction"	6
"Nephropathy"	6
"Nicotine use"	6
"Non-alcoholic fatty liver disease histology (AST)"	6
"Non-small cell lung cancer (recurrence rate)"	6
"Non-small cell lung cancer (survival)"	6
"Nonalcoholic fatty liver disease"	6
"Nonsyndromic cleft lip with or without cleft palate"	6
"Optic nerve measurement (rim area)"	6
"Osteosarcoma"	6
"Partial epilepsies"	6
"Periodontitis"	6
"Plasma omega-6 polyunsaturated fatty acid levels (adrenic acid)"	6
"Response to iloperidone treatment (QT prolongation)"	6
"Response to platinum-based chemotherapy in non-small-cell lung cancer"	6
"Response to statins (LDL cholesterol change)"	6
"Rheumatoid arthritis (ACPA-negative)"	6
"Social autistic-like traits"	6
"Stroke"	6
"Testicular germ cell cancer"	6
"Tetralogy of Fallot"	6
"Triglycerides-Blood Pressure (TG-BP)"	6
"Type 2 diabetes and other traits"	6
"Type 2 diabetes nephropathy"	6
"Urgency urinary incontinence"	6
"Wegener's granulomatosis"	6
"White matter integrity (interaction)"	6
"Adverse response to chemotherapy (neutropenia/leucopenia) (epirubicin)"	5
"Adverse response to chemotherapy (neutropenia/leucopenia) (gemcitabine)"	5
"Adverse response to chemotherapy in breast cancer (alopecia) (paclitaxel)"	5
"Anthropometric traits in newborns"	5
"Anti-saccade response"	5
"Asperger disorder"	5
"Atrioventricular conduction"	5
"Bladder cancer (smoking interaction)"	5
"Blond vs. brown hair color"	5
"Brain structure (temporal lobe volume)"	5
"Breast cancer (estrogen-receptor negative, progesterone-receptor negative, and human epidermal growth factor-receptor negative)"	5
"Breast cancer (prognosis)"	5
"Bronchodilator response in asthma (inhaled corticosteroid treatment interaction)"	5
"Cerebrospinal fluid levels of Alzheimer's disease-related proteins"	5
"Cerebrospinal P-tau181p levels"	5
"Cerebrospinal T-tau levels"	5
"Cervical artery dissection"	5
"Chronic mucus hypersecretion"	5
"Circulating myeloperoxidase levels (serum)"	5
